,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
45,Paper and paper products,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.3,1.7,2.1,2.5,2.8,3.1,3.4,3.4,3.5,3.7,4.0,4.1,3.9,4.0,3.8,3.7,3.5,3.6,3.3,
46,Printing and recording services,0.1,0.2,0.3,0.5,0.8,1.0,1.3,1.6,2.0,2.4,3.0,3.7,4.5,5.5,6.2,7.0,7.5,8.0,8.3,7.9,8.5,8.1,7.9,7.3,7.6,6.8,6.4,5.9,5.8,5.1,
47,Manufacture of coke oven products,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,
48,Manufacture of refined petroleum products,0.1,0.2,0.4,0.6,0.8,1.1,1.4,1.8,2.1,2.6,3.2,3.8,4.4,5.0,5.6,6.4,7.0,7.8,8.2,8.4,8.7,9.0,8.9,8.9,8.9,8.5,8.3,7.7,7.1,6.6,
49,Manufacture of industrial gases and non-nitrogen-based inorganic chemicals,0.1,0.3,0.6,1.2,6.0,11.5,18.0,26.8,37.1,51.6,52.8,55.4,63.0,63.2,61.1,53.3,52.2,47.3,45.3,64.5,59.3,47.9,49.7,48.6,48.7,49.8,47.5,49.2,46.8,42.5,
50,Fertilisers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.4,1.3,1.5,1.4,1.4,1.8,1.9,1.8,1.4,1.2,1.3,1.2,1.4,
51,Other nitrogen compounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.4,1.3,1.5,1.4,1.4,1.8,1.9,1.8,1.4,1.2,1.3,1.2,1.4,
52,Manufacture of petrochemicals,14386.7,14978.8,15571.1,16164.7,16771.2,17671.2,18097.2,19740.4,15306.4,6135.3,3310.4,3031.9,2554.5,2487.1,548.0,553.6,486.6,224.4,160.5,120.1,115.1,110.9,86.0,65.3,32.5,29.7,27.1,23.2,25.2,20.1,
53,"Manufacture of dyestuffs, agro-chemicals",0.0,0.0,0.0,0.0,0.0,0.1,0.5,1.3,3.4,4.4,6.0,8.2,8.4,9.0,9.1,8.6,9.3,9.6,9.1,8.3,7.8,8.2,7.8,9.0,8.9,7.9,7.3,7.5,8.4,6.6,
54,"Manufacture of paints, varnishes & ink",0.0,0.0,0.1,0.1,0.1,0.3,0.9,2.1,5.0,7.9,10.6,13.1,13.9,15.3,15.7,17.1,18.8,20.0,19.8,21.7,21.7,22.8,22.6,22.6,24.1,20.2,17.8,17.6,18.0,15.0,
55,Manufacture of cleaning & toilet preparations,0.0,0.0,0.0,0.1,0.1,0.4,1.4,4.0,8.0,12.1,17.8,20.4,24.3,24.8,25.6,27.9,30.9,30.2,30.3,31.3,35.2,31.3,32.5,35.4,36.3,36.1,31.3,35.1,33.4,30.1,
56,Manufacture of other chemical products & man-made fibres,0.0,0.0,0.0,0.1,0.1,0.4,1.3,3.8,6.2,10.0,13.7,16.8,18.3,22.1,22.9,24.7,25.9,26.6,27.7,28.1,26.5,28.5,28.8,26.9,27.8,26.4,24.0,22.8,24.5,22.6,
57,Basic pharmaceutical products and pharmaceutical preparations,0.0,0.0,0.1,0.1,0.2,0.8,3.5,9.6,20.4,30.1,37.7,44.6,54.2,56.3,57.5,57.3,64.9,58.5,53.3,49.3,60.0,61.7,63.6,65.5,59.2,53.5,50.9,52.2,47.7,47.2,
58,Rubber products,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.0,1.1,1.1,1.2,1.2,1.2,1.4,1.4,1.4,1.4,1.2,1.1,1.2,1.1,1.1,
59,Plastics products,0.1,0.2,0.3,0.5,0.7,1.0,1.2,1.5,7.6,23.6,49.0,104.4,176.6,316.7,346.5,365.9,390.5,415.1,327.5,331.2,338.4,343.2,354.4,366.2,386.2,405.8,426.3,449.3,459.7,435.0,
60,"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products",0.0,0.1,0.1,0.2,0.3,0.4,0.4,0.6,0.7,0.9,1.1,1.4,1.7,2.1,2.5,2.7,3.0,3.2,3.3,3.4,3.2,3.4,3.3,2.9,3.0,2.7,2.6,2.8,2.8,2.5,
61,Manufacture of cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,
62,Manufacture of lime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,Manufacture of plaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,"Manufacture of articles of concrete, cement and plaster",0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.7,2.0,2.0,2.1,2.1,2.3,2.1,2.0,2.1,2.0,2.0,2.0,1.9,1.8,
65,Manufacture of basic Iron & Steel,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.1,1.3,1.5,1.7,1.8,1.8,2.0,2.0,2.0,2.1,1.8,1.8,1.8,1.7,1.7,
66,Manufacture of other basic metals & casting (excl. Nuclear fuel & Aluminium),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.8,0.8,6.8,3.9,4.0,4.1,3.6,3.8,3.4,3.2,3.2,3.2,4.7,3.1,
67,Aluminium production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,
68,Processing of nuclear fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,
69,"Fabricated metal products, except machinery and equipment, excluding weapons and ammunition",0.1,0.3,0.5,0.8,1.3,1.7,2.1,2.7,3.3,4.1,5.2,6.4,8.1,9.9,11.7,13.4,15.0,16.8,18.3,19.4,19.1,20.8,20.6,20.8,20.1,19.8,18.5,18.3,18.4,15.7,
70,Manufacture of weapons and ammunition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,
71,"Computer, electronic, communication and optical products",4.4,5.2,6.1,7.2,8.5,9.9,11.5,13.4,15.5,18.0,22.9,20.1,24.2,26.4,25.8,26.2,27.0,28.2,27.9,27.0,27.6,28.0,29.5,31.4,32.3,33.1,35.0,36.2,37.8,39.8,
72,Electrical equipment,0.0,0.1,0.3,0.4,0.6,0.8,1.0,1.3,1.5,1.9,2.4,2.9,3.5,4.1,4.6,5.1,5.6,5.5,5.4,5.3,5.5,5.9,5.4,5.4,4.8,4.9,4.1,4.4,3.7,3.5,
73,Machinery and equipment n.e.c.,0.6,1.4,1.8,3.2,7.2,17.8,31.6,50.0,66.3,77.8,83.7,88.8,105.9,111.5,115.6,122.2,125.7,122.3,111.8,108.8,112.2,107.0,103.5,100.1,93.9,86.1,76.4,65.6,53.1,48.7,
74,"Motor vehicles, trailers and semi-trailers",0.0,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.5,1.9,2.5,3.5,4.5,5.5,6.4,7.1,8.1,8.7,8.6,8.9,9.4,9.9,10.5,10.5,10.5,10.5,9.9,10.1,9.3,
75,Building of ships and boats,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.7,0.8,1.0,1.1,1.1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.5,
76,Manufacture of air and spacecraft and related machinery,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,1.0,1.4,1.7,2.1,2.5,2.9,3.3,3.9,4.0,4.4,4.6,4.6,4.6,4.3,4.3,4.0,3.9,3.9,
77,"Manufacture of other transport equipment, excluding ships, boats, air and spacecraft",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.8,0.7,0.7,0.8,0.7,0.8,0.7,0.7,0.7,
78,Furniture,0.0,0.1,0.2,0.3,0.5,0.7,0.8,1.0,1.2,1.5,1.9,2.3,2.9,3.5,3.9,4.4,4.8,5.3,5.2,5.6,5.1,5.6,5.9,5.6,5.5,5.2,5.4,5.0,5.0,4.9,
79,Other manufactured goods,0.0,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.9,1.1,1.5,1.8,2.3,2.9,3.3,3.9,4.3,4.8,5.1,5.4,5.8,6.0,6.3,5.4,5.4,5.3,4.6,4.7,4.6,4.4,
80,Repair & maintenance of ships,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.7,0.5,0.5,0.5,0.5,0.5,0.4,0.5,
81,Repair & maintenance of aircraft  & spacecraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.1,1.2,1.3,1.4,1.6,1.5,1.6,1.5,1.5,1.5,1.5,1.5,
82,Rest of repair; Installation,0.0,0.1,0.2,0.2,0.4,0.5,0.6,0.8,1.0,1.2,3.3,7.0,10.8,12.6,12.6,13.0,13.5,13.9,14.1,13.3,14.1,13.8,15.0,15.7,15.6,15.7,16.0,14.8,14.4,14.4,
83,Electricity production - gas,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.5,1.7,2.0,2.4,2.5,2.9,3.1,3.3,3.6,3.4,3.4,3.5,3.4,3.5,3.6,3.3,
84,Electricity production - coal,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.9,1.0,1.2,1.3,1.5,1.6,1.7,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.7,
85,Electricity production - nuclear,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.0,1.1,1.0,1.0,1.0,1.0,1.1,1.1,1.0,
86,Electricity production - oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
87,Electricity production - other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,
88,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,1.0,1.0,1.3,1.4,1.7,1.9,2.9,3.3,3.5,3.5,3.6,3.4,3.4,3.4,3.3,2.9,2.8,
89,Natural water; water treatment and supply services,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.2,1.5,1.9,2.1,2.2,2.4,2.5,2.7,2.9,2.8,2.7,2.8,2.7,2.7,2.7,
90,Sewerage services; sewage sludge,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,1.0,1.2,1.4,1.6,1.8,2.0,1.9,2.0,2.0,2.0,2.2,2.4,2.2,2.2,2.0,1.8,1.9,1.7,
91,"Waste collection, treatment and disposal services; materials recovery services",0.3,0.7,1.2,4.4,18.9,35.0,52.6,74.7,107.5,158.2,177.0,210.4,241.1,255.6,284.7,338.4,429.7,537.0,654.6,837.2,1038.9,1302.4,1596.8,1906.9,2209.3,2479.9,2739.2,2942.1,3076.2,3120.3,
92,Remediation services and other waste management services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,
93,Buildings and building construction works,0.1,0.2,0.5,0.8,1.3,1.8,2.3,3.0,3.9,5.0,6.7,8.7,11.3,14.3,17.6,21.5,24.6,27.6,31.5,34.8,35.9,38.1,38.2,38.0,39.7,37.9,37.5,37.2,35.9,35.3,
94,Constructions and construction works for civil engineering,0.1,0.4,0.8,1.3,2.0,2.7,3.4,4.4,5.4,6.8,8.7,10.7,13.4,16.3,19.2,22.9,26.3,30.9,31.5,31.7,33.3,34.3,35.0,34.9,34.4,32.6,33.3,31.3,28.9,26.8,
95,Specialised construction works,0.2,0.5,1.0,1.5,2.4,3.4,4.4,5.9,7.6,9.9,13.2,17.2,22.5,28.7,36.2,44.3,52.5,61.4,69.8,72.9,74.7,79.6,80.2,80.9,80.1,77.9,75.1,74.3,69.7,68.4,
96,Wholesale and retail trade and repair services of motor vehicles and motorcycles,0.3,0.9,1.7,2.7,4.0,5.5,6.9,8.7,10.8,13.5,17.3,21.5,26.7,32.7,39.3,47.3,54.3,62.9,68.2,71.5,77.4,81.7,83.1,83.6,83.9,80.3,77.8,72.7,68.9,65.9,
97,"Wholesale trade services, except of motor vehicles and motorcycles",0.9,2.8,5.4,8.3,15.2,43.6,87.9,145.6,216.2,303.7,397.1,484.6,580.1,682.7,788.6,888.5,999.6,1111.4,1210.4,1291.4,1294.3,1221.7,1226.1,1201.6,1161.6,1118.4,1152.4,1216.2,1226.5,1064.0,
98,"Retail trade services, except of motor vehicles and motorcycles",0.3,0.8,1.7,2.9,7.3,26.1,88.8,203.0,369.9,565.9,773.7,985.9,1208.9,1449.5,1696.2,1920.9,2167.8,2409.4,2595.2,2755.8,2990.0,3248.8,3390.2,3410.6,3329.5,3158.1,2933.8,2669.2,2424.0,2307.4,
